author,desc,genre,homepage,language,name,price,rating,release,require,time,url,version,vote_all,vote_cur
"HUAFENG ECOMMERCE(Shanghai) CO.,LTD",《唐诗宋词欣赏》是一款多功能的古典诗词应用软件，产品内下列十个单元，整合唐诗与宋词经典篇目，也有唐宋名家代表性作品的分类精选，适合用户多种需求，按需下载。产品界面清晰、美观，声、画、字三位一体全面展现古典诗词的恒久魅力与韵味。其中唐诗欣赏单元依照五言、七言体裁分类排列，让用户对众多体裁的诗歌一目了然。唐代名家如孟浩然、李白、杜甫、白居易、李商隐、杜牧，宋名家如苏轼、李清照、辛弃疾的精品佳作一一展现。       《唐诗宋词欣赏》由范读、注释、译文、赏析、回放等功能于一身。范读便于读者模仿和学习，加深体味诗词的情感以及力量；注释和译文利于读者对诗词意义进行理解；赏析方便读者在整体把握诗文意境的同时进一步体会其中的内涵；回放便于读者根据自身需要播放、下载文件。软件应用界面色彩清新明快，提升了诵读体验，易学易用。产品还增加了有关作者简介、生平简介、诗歌风格、及逸闻趣事。音频播放时，诗词内容同步显示，同时还增加了按需下载功能，方便用户选择所需。       开发者信息      纳达书院（www.ndapk.com）是广大移动用户掌上有声阅读的良师益友，是作者、小编们实现个人数字出版的梦想乐园，是上海华烽电子商务有限公司倾情打造的移动应用市场，她面向智能手机用户和平板电脑用户，开发了音乐、诗词、外语、武术、戏曲、中小学等一系列的经典移动应用。,图书,https://itunes.apple.com/cn/artist/shang-hai-hua-feng-dian-zi/id456154105,英文,唐诗宋词欣赏-名家名师朗诵,免费,限4岁以上,2013年10月31日,需要 iOS 4.3 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364233,https://itunes.apple.com/cn/app/tang-shi-song-ci-xin-shang/id584720266?mt=8,1.3,"4星, 43 份评分","4星, 10 份评分"
Reader's Digest Association,"Now available for your iPad, Country Woman is dedicated to women who share country values as a way of life, no matter where they live, and helps them with inspiration and hands-on ideas for cooking, crafts and a dedication to home, family and community. Download the free app, then purchase individual issues, or subscribe so you don’t miss a single edition of delicious, healthy and quick recipes, household hints to save time and money, compelling stories about fellow country women, fun crafts with timeless appeal, down-to-earth gardening advice and stories behind real kitchen renovations of people like you.SUBSCRIBE NOW – GET A ONE-MONTH FREE TRIAL!Get a one-month FREE trial when you sign up for a year of uninterrupted digital editions with an auto-renewable yearly subscription for just $14.99 or start an auto-renewable monthly subscription for just $1.99. Single issues are available for just $3.99. And check this out: Current subscribers to the Country Woman print edition get access to iPad editions FREE for 6 months. To claim your 6 months of free access, download our app and then tap on “Current Magazine Subscriber” to get started. Apple Subscription Information:- Payment will be charged to an iTunes Account at confirmation of purchase- Subscription automatically renews unless auto-renewal is turned off at least 24 hours before the end of the current period- Account will be charged for renewal within 24 hours prior to the end of the current period, and identify the cost of the renewal- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase- No cancellation of the current subscription is allowed during active subscription period",生活,https://itunes.apple.com/cn/artist/readers-digest-association/id411524301,英文,Country Woman,免费,限4岁以上,2014年01月21日,需要 iOS 6.0 或更高版本。与 iPad 兼容。,1397364243,https://itunes.apple.com/cn/app/country-woman/id603563828?mt=8,2,,
Andrew Alexander,"A travel magazine that will open up you to the beauty of the world around you. A Beautiful Vacation explores the BEST vacation spots in every continent, and even an out-of-this world adventure that you will never forget.Auto-renewable subscription information.- A Beautiful Vacation Magazine offers two autorenewable subscriptions. A 6 month ($12.99 for 1 issue per month for 6 months - a total of 6 magazine issues averaging at $2.17 per issue) and 12 month ($21.99 for 1 issue per month for 12 months - a total of 12 magazine issues at an average of $1.83 per issue.)- Payment will be charged to iTunes Account at confirmation of purchase- Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period- Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase- No cancellation of the current subscription is allowed during active subscription period- Privacy Policy and Terms of Use information can be found at http://480publishing.com/privacy/- Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication.""",旅行,https://itunes.apple.com/cn/artist/andrew-alexander/id703296376,英文,A Beautiful Vacation,免费,限4岁以上,2014年02月09日,需要 iOS 6.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364353,https://itunes.apple.com/cn/app/a-beautiful-vacation/id792608932?mt=8,1,,
Picsean Media Private Limited,"The magazine for pets and their people, educating towards socially responsible animal ownership. Animaltalk is for anyone who wants know more about their pets and responsible pet ownership. This monthly publication features articles dedicated to pet health, training,  behaviour and nutrition, and to the relationship between pets and their owners. It provides useful information on the care and feeding of companion animals, as well as advice on products that can make the lives of our best friends more enjoyable. Animaltalk also contains a special learning section for children, accompanied by posters for the younger readers.Animaltalk is one of the best pet magazines in the world! For the past 17 years, we have dedicated ourselves to educating readers towards responsible pet ownership. We are about pets and their people.Animaltalk is produced by the most passionate editorial team ever. Johann along with his Welsh Corgie, Mr.Knightly; his two Basset Hounds, Alistair and Babette; and his cat, Janie are responsible for the breathtaking photography and the editorship of the magazine.      We  even employ  a  dog, Sammy Hundhausen, on our editorial staff - that’s how passionate we are.Subscriptions available: 1 - Year subscription available for $27.99, automatically renewed until canceled 6 - Months subscription available for $16.99, automatically renewed until canceled 3 - Month subscription available for $8.99, automatically renewed until canceled When purchasing through iTunes, your account will be charged at confirmation of purchase.Your subscription will auto-renew unless you turn this off 24 hours before the subscription runs out. You can also turn off auto-renewal at any time from your iTunes account settings. No cancellation of the current subscription is allowed during an active subscription period. AUTOMATIC RENEWAL FEATURE: Your subscription will automatically continue unless auto-renewal is turned off at least 24 hours before the end of the current period. Your credit card will automatically be charged for another subscription period at the current subscription price. You can manage your subscriptions and turn off auto-renewal by going to your iTunes Account Settings after purchase. Subscriptions cannot be canceled during the active subscription period. For more information, read our privacy policy and terms of use.",生活,https://itunes.apple.com/cn/artist/picsean-media/id467090478,英文,Animaltalk Interactive Magazine,免费,限4岁以上,2013年04月24日,需要 iOS 5.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364355,https://itunes.apple.com/cn/app/animaltalk-interactive-magazine/id542645435?mt=8,2.1,,
Andrew Alexander,"Become the best pet owner that you can be with a subscription to A Dogs Best Friend.Dog Health TopicsProduct ReviewsTraining TipsGrooming CareHealthy Dog Treat RecipesAuto-renewable subscription information. - A Dogs Best Friend Magazine offers 3 autorenewable subscription plans. A 12 month plan ($34.99 for 1 issue per month for 12 months - a total of 12 magazine issues). A 6 month plan ($23.99 for 1 issue per month for 6 months - a total of 6 magazine issues). A Monthly autorenewable subscription for $3.99 per month until cancelled -All subscriptions come with a free trial (7 days for monthly, 1 month free for 6 and 12 month subscriptions.) -Individual issues are $4.99 - Payment will be charged to iTunes Account at confirmation of purchase - Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period - Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal - Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase - No cancellation of the current subscription is allowed during active subscription period- Privacy Policy and Terms of Use information can be found at http://480publishing.com/privacy/ - Any unused portion of a free trial period, if of",生活,https://itunes.apple.com/cn/artist/andrew-alexander/id703296376,英文,A Dogs Best Friend,免费,限4岁以上,2014年03月21日,需要 iOS 6.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364356,https://itunes.apple.com/cn/app/a-dogs-best-friend/id703296373?mt=8,1.1,"3星, 8 份评分",
MagazineCloner.com Limited,"If you’re looking for the best dog magazine on the market, we think you’ve found it!Dogs Monthly is definitely not your average Fido when it comes to doggy reads. Packed with tantalising articles, achievable training features and no-nonsense advice, it will warm the heart of every dog lover.Dogs Monthly is put together by people passionate about dogs who work with an enviable team of highly-respected trainers, behaviourists, breeders, vets, nutritionists and legal experts. We pride ourselves on giving the best and most up-to-date doggy advice so you can give your dog the good life he deserves. Dogs Monthly is bold, fresh, positive and vibrant, filled with inspiring features, fabulous reader offers, fantastic competitions and plenty of opportunities to see your own furry, four-legged friend on the page. It’s Britain’s fastest-growing dog magazine and readers say they just can’t put it down – come join us and see for yourself!If after downloading the update you have any problems please delete and re-download the app. Existing users can retrieve their purchased issues by logging in with their existing PocketMags username and password. If you have any problems at all please contact us at help@pocketmags.com-------------------- This is a free app download with paid content within. The current issue, back issues and future issues can be purchased within the app. Subscriptions are also available within the application. When a recurring subscription is purchased the latest issue will become available to download immediately. Available subscriptions are: 1 month: £2.99/ US$4.99 (1 issue)6 months: £17.49/ US$24.99 (6 issues)12 months: £32.99/ US$46.99 (12 issues)-The subscription will renew automatically unless cancelled more than 24 hours before the end of the current period. You will be charged for renewal within 24 hours of the end of the current period, for the same duration and at the current subscription rate for the product.-You may turn off the auto-renewal of subscriptions through your Account Settings, however you are not able to cancel the current subscription during its active period. -Payment will charged to your iTunes account at confirmation of purchase and any unused portion of a free trial period, if offered, will be forfeited when a subscription to that publication is purchased.Bundles of single issues can be also be bought within the application. To use purchased credits, simply click on the issue price and select ‘use credit’. This allows you to purchase back issues at reduced prices. Users can register for/ login to a pocketmags account in-app. This will protect their issues in the case of a lost device and allow browsing of purchases on multiple platforms. Existing pocketmags users can retrieve their purchases by logging into their account. We recommend loading the app for the first time in a wi-fi area so that all issue data is retrieved. If your app will not load past the splash page after a first install or an update please delete and reinstall the app from the App Store Help and frequently asked questions be accessed in-app and on pocketmags. If you have any problems at all please do not hesitate to contact us: help@pocketmags.com -------------------- You can find our privacy policy here: http://www.pocketmags.com/privacy.aspx You can find our terms and conditions here: http://www.pocketmags.com/terms.aspx",生活,https://itunes.apple.com/cn/artist/magazinecloner.com-limited/id373521339,英文,"Dogs Monthly magazine - expert vet, behaviour and training advice for dog owners",免费,限4岁以上,2013年03月13日,需要 iOS 4.3 或更高版本。与 iPhone、iPad、iPod touch 兼容。,1397364357,https://itunes.apple.com/cn/app/dogs-monthly-magazine-expert/id452674411?mt=8,4.9.10,"5星, 5 份评分",
Finlayson Media Communications Ltd,"Fortnightly dental magazine that enables you to stay up to date with Dental NewsQuite simply the must-have dentistry resource. Dentistry is the UK’s highest circulating dental magazine. Published fortnightly, this award-winning publication keeps its vast readership up-to-date with an unbiased take on all the latest news in dentistry.The title is also very well read for clinical, business and product news.-------------------- This is a free app download. Free app downloads do not include a free issue unless otherwise stated. The current issue, back issues and future issues can be purchased within the app. Subscriptions are also available within the application. When a recurring subscription is purchased the latest issue will become available to download immediately. Available subscriptions are: 12 months: UK £129.99 / US $189.99 (4 Issues)- The subscription will renew automatically unless cancelled more than 24 hours before the end of the current period. You will be charged for renewal within 24 hours of the end of the current period, for the same duration and at the current subscription rate for the product. - You may turn off the auto-renewal of subscriptions through your Account Settings, however you are not able to cancel the current subscription during its active period. - Payment will charged to your iTunes account at confirmation of purchase and any unused portion of a free trial period, if offered, will be forfeited when a subscription to that publication is purchased. - Bundles of single issues can be also be bought within the application. To use purchased credits, simply click on the issue price and select ‘use credit’. This allows you to purchase back issues at reduced prices. Users can register for/ login to a pocketmags account in-app. This will protect their issues in the case of a lost device and allow browsing of purchases on multiple platforms. Existing pocketmags users can retrieve their purchases by logging into their account. We recommend loading the app for the first time in a wi-fi area so that all issue data is retrieved. If your app will not load past the splash page after a first install or an update please click the settings cog, then click Settings then Refresh app data. If this also fails to work please delete and reinstall the app from the App Store Help and frequently asked questions be accessed in-app and on pocketmags. If you have any problems at all please do not hesitate to contact us: help@pocketmags.com -------------------- You can find our privacy policy here: http://www.pocketmags.com/privacy.aspx You can find our terms and conditions here: http://www.pocketmags.com/terms.aspx",医疗,https://itunes.apple.com/cn/artist/fmc-dentistrys-information/id642822769,英文,Dentistry Magazine,免费,限4岁以上,2013年10月09日,需要 iOS 4.3 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364359,https://itunes.apple.com/cn/app/dentistry-magazine/id719047291?mt=8,4.9.26,,
PageSuite,"Protocol is a quarterly publication featuring columns and articles of interest to professionals in the entertainment technology industry on business and technical topics, current standards issues, certification developments, and trade shows.  Since its inception in 1994, Protocol has grown to become the leading source of information for businesses in the field of entertainment technology.Between its covers you will find a variety of articles on topics ranging from:-Business - marketing, insurance, information technologies, accounting, legal issues, and money-saving techniques specific to operating a business in the entertainment technology industry -Technology - articles encompassing new technologies and the proper use of existing technologies-Industry Developments - track the progress being made in Technical Standards, Certification, and Technical Education-News - read Protocol for information on upcoming trade shows and events, awards, and membership benefits Your Protocol app also includes features such as- -Search functionality to find key-words relating to recent content -Zoom function to enable clearer reading of selected articles -Social networking integration to keep your friends and social-circles up to date with all the latest shared news from the Protocol Journal - Flip your device in to landscape and read the magazine as a double-page spread or tap the page selector to choose a specific page to fast-navigate to - You can also download and save individual pages to enjoy offline and when you are on the go",商业,https://itunes.apple.com/cn/artist/pagesuite-limited/id337271839,"丹麦文, 俄文, 意大利文, 法文, 英文, 葡萄牙文, 西班牙文",Protocol Journal,免费,限4岁以上,2013年11月25日,需要 iOS 5.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364360,https://itunes.apple.com/cn/app/protocol-journal/id457826752?mt=8,2.9.5,,
Roman Katuntsev,"Журнал ""Градостроитель. Иркутск"" - это профессиональное издание, которое является полноценной информационной площадкой для общения строителей, производителей, поставщиков, проектировщиков и горожан, желающих быть в курсе новостей строительного комплекса.В журнале ""Градостроитель"" освещаются следующие рубрики:""Строительство в регионе. Перспективы развития."" Здесь своим видением делятся представители органов власти, лицензирования, ведущие застройщики, проектные организации, производители строительных материалов и изделий.В рубрике ""Технологии и цены в строительстве"" мы рассказываем о новинках строительного рынка и перспективах их внедрения.В рубрике ""Тендеры"" - вы найдете информацию о проведении аукционов по приобретению земельных участков и тендеров на ремонтно-строительные работы.""Перспективное партнерство"" и ""Современный дизайн"" заинтересуют как рядовых читателей, так и профессионалов.Выпускается издательским домом ""Градостроитель""",商业,https://itunes.apple.com/cn/artist/roman-katuntsev/id533358930,俄文,Журнал Градостроитель,免费,限4岁以上,2014年04月08日,需要 iOS 5.1 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364361,https://itunes.apple.com/cn/app/zurnal-gradostroitel/id604755026?mt=8,1.14,,
Lucas Colton,"Groomer to Groomer Magazine is the number one resource for pet care professionals in the grooming industry. Groomer to Groomer began 25 years ago as the media arm of Barkleigh Productions, teaching professional groomers how to promote their business through the use of Barkleigh products. It soon became a vehicle of grooming news for the burgeoning professional pet-care industry, carrying news of contests, calendar of events, features and product news.Now every month groomers can get great content from the print edition delivered to their iPhone, iPad, or iPod Touch for free! We publish issues monthly.Subscriptions are free and include access to all back issues. Subscriptions are auto-renewed each month as follows:• Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase.• Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period.• No cancellation of the current subscription is allowed during active subscription period.Our privacy policy and terms of use can be found at www.groomertogroomer.com/app/Mobile_Privacy_Policy.pdf",图书,https://itunes.apple.com/cn/artist/lucas-colton/id673130675,英文,Groomer to Groomer,免费,限4岁以上,2013年07月26日,需要 iOS 6.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364363,https://itunes.apple.com/cn/app/groomer-to-groomer/id673130672?mt=8,1,,
